"β"	"beta"
"ジェームズ" "テイラー"	"james" "taylor"
"ジェームズ" "ディーン"	"james" "dean"
"ジェームズ" "ベーカー"	"james" "baker"
"ジェームズ" "ワット"	"james" "watt"
"ジェームズ" "山地"	"james" "range"
"ジェームズ" "湾"	"james" "bay"
"ジェーン"	"Jane"
"ジプシー"	"gypsy"
"ジプシー" "ルック"	"gypsy" "look"
"ジプシー" "音楽"	"gypsy" "music"
"ジミー"	"Jimmy"
"ジミー" "カーター"	"jimmy" "carter"
"ジム"	"Jim"
"ジム"	"gym"
"ジム"	"gymnasium"
"ジムナジウム"	"gymnasium"
"ジャイアント"	"giant"
"ジャガー"	"jaguar"
"ジャクソン"	"Jackson"
"ジャケット"	"book" "jacket"
"ジャケット"	"dust" "cover"
"ジャケット"	"jacket"
"ジャコブ"	"Jacob"
"ジャスト"	"exact"
"ジャスト"	"just"
"ジャスト"	"perfect"
"ジャズ"	"jazz"
"ジャズ" "コーラス"	"jazz" "chorus"
"ジャズ" "シンガー"	"jazz" "singer"
"ジャズソング"	"jazz" "song"
"ジャズバンド"	"jazz" "band"
"ジャッキ"	"jack"
"ジャッキー"	"Jackie"
"ジャック"	"Jacques"
"ジャック"	"jack"
"ジャッジ"	"judge"
"ジャッジ" "ペーパー"	"judge" "paper"
"ジャネット"	"Janet"
"ジャネット" "リー"	"janet" "leigh"
"ジャパニーズ"	"Japanese"
"ジャパニーズ" "イングリッシュ"	"japanese" "english"
"ジャパニーズ" "スマイル"	"japanese" "smile"
"ジャパニーズ" "マネージメント"	"japanese" "management"
"ジャパン"	"Japan"
"ジャパン" "メール"	"japan" "mail"
"ジャブ"	"jab"
"ジャマイカ"	"Jamaica"
"ジャマイカ" "湾"	"jamaica" "bay"
"ジャム"	"jam"
"ジャム" "パー"	"jumper"
"ジャム" "信号"	"jam" "signal"
"ジャワ"	"Java"
"ジャワ"	"java"
"ジャワ" "海"	"java" "sea"
"ジャワ" "海溝"	"java" "trench"
"ジャン"	"Jean"
"ジャン" "キー"	"junkie"
"ジャンク"	"junk"
"ジャンク" "アート"	"junk" "art"
"ジャンク" "フード"	"junk" "food"
"ジャンク" "メール"	"junk" "e-mail"
"ジャンク" "債"	"junk" "bond"
"ジャンク" "ＤＮＡ"	"junk" "dna"
"ジャングル"	"jungle"
"ジャンパー"	"jacket"
"ジャンパー"	"jumper"
"ジャンパースカート"	"jumper"
"ジャンプ"	"jump"
"ジャンプ" "ボール"	"jump" "ball"
"ジャー"	"jar"
"ジャー" "キー"	"jerky"
"ジャー" "ク"	"jerk"
"ジャー" "マン"	"german"
"ジャー" "メイン"	"germane"
"ジャージー"	"jersey"
"ジャージー" "シティー"	"jersey" "city"
"ジャージー" "島"	"jersey"
"ジャーナリスト"	"journalist"
"ジャーナリズム"	"journalism"
"ジャーナル"	"journal"
"ジャーナル"	"log"
"ジュニア"	"junior"
"ジュニア" "チーム"	"junior" "team"
"ジュネーブ"	"Geneva"
"ジュネーブ" "条約"	"geneva" "convention"
"ジュピター"	"Jupiter"
"ジュリア"	"Julia"
"ジュリエット"	"Juliet"
"ジュリー"	"Julie"
"ジュリー"	"jury"
"ジュリー" "クリスティ"	"julie" "christie"
"ジュー" "ド"	"jude"
"ジュー" "リア"	"julia"
"ジュー" "リー"	"jewelry"
"ジュース"	"deuce"
"ジュース"	"juice"
"ジューン"	"June"
"ジューンブライド"	"June" "bride"
"ジョイ"	"joy"
"ジョイント"	"joint"
"ジョイント" "コンサート"	"joint" "concert"
"ジョイント" "ベンチャー"	"joint" "venture"
"ジョエル"	"Joel"
"ジョゼフ"	"Joseph"
"ジョッキ"	"beer" "mug"
"ジョッキ"	"jockey"
"ジョッキー"	"beer" "mug"
"ジョッキー"	"jockey"
"ジョニー"	"Johnny"
"ジョニー"	"Jonny"
"ジョニー" "キャッシュ"	"johnny" "cash"
"ジョン"	"John"
"ジョン"	"Jon"
"ジョン"	"Jonathan"
"ジョンソン" "シティー"	"johnson" "city"
"ジョー"	"Joe"
"ジョー"	"jaw"
"ジョー"	"joe"
"ジョー" "ジャクソン"	"joe" "jackson"
"ジョーカー"	"joker"
"ジョーク"	"joke"
"ジョージ"	"George"
"ジョージ" "アン"	"georgian"
"ジョージ" "ケネディ"	"george" "kennedy"
"ジョージ" "ストリート"	"george" "street"
"ジョージ" "ナ"	"georgina"
"ジョージ" "ベーカー"	"george" "baker"
"ジョージ" "ワシントン"	"george" "washington"
"ジョージ" "湖"	"lake" "george"
"ジョージア"	"Georgia"
"ジョーン"	"Joan"
"ジョーンズ"	"Jones"
"ジョーンズ" "岬"	"cape" "jones"
"ジル"	"Jill"
"ジル"	"gill"
"ジル" "ベール"	"gilbert"
"ジレンマ"	"dilemma"
"ジンジャー"	"Ginger"
"ジンジャー"	"ginger"
"ジンジャー" "ケーキ"	"ginger" "cake"
"ジンジャー" "ロジャース"	"ginger" "rogers"
"ジンジャーエール"	"ginger" "ale"
"ジンバブエ"	"Zimbabwe"
"ジーパン"	"jeans"
"ジーン"	"Gene"
"ジーン"	"gene"
"ジーン" "エンジニアリング"	"gene" "engineering"
"ジーン" "エンジニアリング"	"genetic" "engineering"
"ジーン" "ケリー"	"gene" "kelly"
"ジーン" "バンク"	"gene" "bank"
"ジーンズ"	"jeans"
"スイス"	"Switzerland"
"スイッチ"	"switch"
"スイッチ" "アーキテクチャ"	"switch" "architecture"
"スイッチ" "容量"	"switch" "capacity"
"スイッチ" "貿易"	"switch" "trade"
"スイミング"	"swimming"
"スイミング" "グローブ"	"swimming" "glove"
"スイミング" "スクール"	"swimming" "school"
"スイミング" "プール"	"swimming pool"
"スイミング" "プール"	"swimming" "pool"
"スイング"	"swing"
"スイング" "プレー"	"swing" "play"
"スイング" "戦略"	"swing" "strategy"
"スイート"	"suite"
"スイート"	"sweet"
"スイートピー"	"sweet" "pea"
"スイートホーム"	"sweet" "home"
"スイートポテト"	"sweet" "potato"
"スイートメロン"	"sweet" "melon"
"スウェーデン"	"Sweden"
"スウェーデン" "リレー"	"sweden" "relay"
"スウェーデン" "語"	"swedish"
"スカイ"	"sky"
"スカイ" "グレー"	"sky" "gray"
"スカイダイビング"	"skydiving"
"スカイブルー"	"sky" "blue"
"スカイライン"	"skyline"
"スカウト"	"scout"
"スカスカ"	"cleanly"
"スカスカ"	"hollow"
"スカスカ"	"sharply"
"スカスカ"	"smoothly"
"スカッシュ"	"squash"
"スカンジナビア"	"Scandinavia"
"スカンジナビア" "半島"	"scandinavian" "peninsula"
"スカート"	"skirt"
"スカーフ"	"scarf"
"スカーレット"	"scarlet"
"スキッパー"	"Skipper"
"スキッパー"	"skipper"
"スキップ"	"skip"
"スキムミルク"	"skim" "milk"
"スキャン"	"scan"
"スキャン" "トーク"	"scan" "talk"
"スキャンダル"	"scandal"
"スキューバ"	"scuba"
"スキン"	"condom"
"スキン"	"skin"
"スキン" "クリーム"	"skin" "cream"
"スキン" "ダイバー"	"skin" "diver"
"スキン" "フード"	"skin" "food"
"スキンシップ"	"close" "relationship"
"スキー"	"ski"
"スキー" "シーズン"	"ski" "season"
"スキー" "ジャンプ"	"ski" "jump"
"スキー" "ラック"	"ski" "rack"
"スキー" "リフト"	"ski" "lift"
"スキー" "場"	"ski" "area"
"スキー" "用品"	"ski" "outfit"
"スキーツアー"	"ski" "tour"
"スキーム"	"scheme"
"スキーヤー"	"skier"
"スギ"	"sergeant" "fish"
"スクイズ"	"squeeze"
"スクイズ" "プレー"	"squeeze" "play"
"スクウェア"	"Square"
"スクウェア"	"square"
"スクエア"	"square"
"スクラッチ"	"scratch"
"スクラップ"	"scrap"
"スクランブル"	"scramble"
"スクランブル" "レース"	"scramble" "race"
"スクランブル" "交差点"	"multiple" "intersection"
"スクリュー"	"screw"
"スクリュー" "ギア"	"screw" "gear"
"スクリュー" "ボール"	"screwball"
"スクリーン"	"screen"
"スクリーン" "セーブ"	"screen" "save"
"スクリーン" "バッファ"	"screen" "buffer"
"スクリーン" "パス"	"screen" "pass"
"スクリーン" "プレー"	"screen" "play"
"スクリーン" "プロセス"	"screen" "process"
"スクリーン" "ミュージック"	"screen" "music"
"スクリーン" "モード"	"screen" "mode"
"スクーター"	"scooter"
"スクープ"	"scoop"
"スクール"	"school"
"スクール" "カウンセラー"	"school" "counsellor"
"スクール" "カラー"	"school" "color"
"スクール" "カラー"	"school" "colour"
"スクール" "ガール"	"schoolgirl"
"スクール" "ゾーン"	"school" "zone"
"スクール" "フィギュア"	"school" "figure"
"スクールバス"	"school" "bus"
"スケジュール"	"schedule"
"スケッチ"	"sketch"
"スケルトン"	"skeleton"
"スケーター"	"skater"
"スケート"	"skate"
"スケール"	"scale"
"スケール" "モデル"	"scale" "model"
"スコア"	"score"
"スコッチ" "ウイスキー"	"scotch" "whisky"
"スコッチ" "ツイード"	"scotch" "tweed"
"スコッチ" "テープ"	"scotch" "tape"
"スコット"	"Scott"
"スコット" "基地"	"scott" "station"
"スコット" "山脈"	"scott" "range"
"スコット" "岬"	"cape" "scott"
"スコット" "島"	"scott"
"スコットランド"	"Scotland"
"スコットランド"	"Scottish"
"スコットランド" "ヤード"	"scotland" "yard"
"スコットランド" "人"	"scot"
"スコットランド" "人"	"scottish" "person"
"スコップ"	"scoop"
"スコップ"	"shovel"
"スコップ"	"spade"
"スコープ"	"scope"
"スコープ" "ノート"	"scope" "note"
"スコール"	"squall"
"スタイル"	"figure"
"スタイル"	"style"
"スタイル" "シート"	"style" "sheet"
"スタイル" "ファイル"	"style" "file"
"スタジアム"	"stadium"
"スタジオ"	"studio"
"スタッフ"	"staff"
"スタッフ"	"stuff"
"スタッフ" "ルーム"	"staff" "room"
"スタミナ"	"energy"
"スタンス"	"stance"
"スタンダード"	"standard"
"スタンダード" "テスト"	"standard" "test"
"スタンダード" "ナンバー"	"standard" "number"
"スタンダード" "バージョン"	"standard" "version"
"スタンダード" "モード"	"standard" "mode"
"スタンダード" "ライブラリー"	"standard" "library"
"スタンダード" "版"	"standard" "version"
"スタントマン"	"stunt" "man"
"スタンド"	"stand"
"スタンド" "バー"	"bar"
"スタンバイ"	"arrangement"
"スタンバイ"	"preparation"
"スタンバイ"	"ready"
"スタンバイ"	"standby"
"スタンバイ" "ファイル"	"standby" "file"
"スタンフォード"	"Stamford"
"スタンプ"	"stamp"
"スタンプ"	"stump"
"スタンプ" "ハンマー"	"stamp" "hammer"
"スター ボード"	"starboard"
"スター"	"star"
"スター" "80"	"star" "80"
"スター" "ガイド"	"star" "guide"
"スター" "キング"	"star" "king"
"スター" "ク"	"stark"
"スター" "ダスト"	"stardust"
"スター" "ダム"	"stardom"
"スター" "ネットワーク"	"star" "network"
"スター" "ボード"	"starboard"
"スター" "レット"	"starlet"
"スター" "型"	"star" "configuration"
"スター" "形"	"star" "configuration"
"スター" "状"	"star" "configuration"
"スター" "選手"	"star" "athlete"
"スター" "選手"	"star" "player"
"スターター"	"starter"
"スタート"	"start"
"スタート" "アップ"	"startup"
"スタート" "ビット"	"start" "bit"
"スタート" "ボタン"	"start" "button"
"スタート" "レック"	"star trek"
"スタート" "レック"	"star" "trek"
"スタート" "信号"	"start" "signal"
"スタート" "岬"	"start" "point"
"スタートダッシュ"	"start" "dash"
"スタートライン"	"start" "line"
"スタープレーヤー"	"star" "player"
"スチュワーデス"	"flight" "attendant"
"スチーム"	"steam"
"スチーム" "エンジン"	"steam" "engine"
"スチーム" "ハンマー"	"steam" "hammer"
"スチーム" "バス"	"steam" "bath"
"スチーム" "ヒーター"	"steam" "heater"
"スチーム" "ローラー"	"steam" "roller"
"スチームアイロン"	"steam" "iron"
"スチール"	"steal"
"スチール"	"steel"
"スチール"	"still"
"スチール" "ウール"	"steel" "wool"
"スチール" "カラー"	"robot"
"スチール" "ギター"	"steel" "guitar"
"スチール" "グレー"	"steel" "gray"
"スチール" "サッシ"	"steel" "sash"
"スチール" "ドラム"	"steel" "drum"
"スチール" "ドラム"	"steel" "pan"
"スチール" "バンド"	"steel" "band"
"スチール" "パン"	"steel" "drum"
"スチール" "パン"	"steel" "pan"
"スチール" "ファイル"	"steel" "file"
"スチール" "家具"	"steel" "furniture"
"スチール" "缶"	"steel" "can"
"スツール"	"stool"
"スティック"	"stick"
"スティーブ"	"Steve"
"スティーブン"	"Stephen"
"スティーブン" "キング"	"stephen" "king"
"スティーブン" "ジョーンズ"	"stephen" "jones"
"スティーヴ"	"Steve"
"スティーヴン"	"Stephen"
"スティーヴン"	"Steven"
"ステッカー"	"sticker"
"ステッキ"	"staff"
"ステッキ"	"stick"
"ステッキ"	"wand"
"ステッチ"	"stitch"
"ステップ"	"step"
"ステップ" "ターン"	"step" "turn"
"ステップ" "応答"	"step" "response"
"ステップ" "関数"	"step" "function"
"ステレオ"	"stereo"
"ステレオ" "レコード"	"stereo" "record"
"ステレオタイプ"	"stereotype"
"ステレオ放送"	"stereo" "broadcasting"
"ステーキ"	"steak"
"ステーキ" "屋"	"steak" "house"
"ステーション"	"station"
"ステーション" "コール"	"station" "call"
"ステーション" "ワゴン"	"station" "wagon"
"ステージ"	"performance"
"ステージ"	"stage"
"ステータス"	"status"
"ステータス" "シンボル"	"status" "symbol"
"ステータス" "バー"	"status" "bar"
"ステータス" "レジスタ"	"status" "register"
"ステータス" "行"	"status" "line"
"スト"	"strike"
"ストア"	"store"
"ストック"	"stock"
"ストック" "カー"	"stock" "car"
"ストック" "コントロール"	"stock" "control"
"ストック" "ホルダー"	"stockholder"
"ストックホルム"	"Stockholm"
"ストックホルム" "症候群"	"stockholm" "syndrome"
"ストップ"	"stop"
"ストップ" "オーバー"	"stopover"
"ストップ" "モーション"	"stop" "motion"
"ストップ" "信号"	"stop" "signal"
"ストライカー"	"Striker"
"ストライカー"	"striker"
"ストライキ"	"strike"
"ストライク"	"strike"
"ストライクゾーン"	"strike" "zone"
"ストライプ"	"stripe"
"ストラップ"	"strap"
"ストリキニーネ"	"strychnine"
"ストリップ"	"strip"
"ストリップ" "ガール"	"strip" "girl"
"ストリップ" "ショー"	"strip" "show"
"ストリート"	"Street"
"ストリート"	"street"
"ストリート" "エンゼル"	"street" "angel"
"ストリート" "カー"	"streetcar"
"ストリート" "ガール"	"street" "girl"
"ストリート" "ファイター"	"street" "fighter"
"ストレス"	"stress"
"ストレス" "解消"	"stress" "reduction"
"ストレッチ"	"stretch"
"ストレッチ" "織物"	"stretch" "fabric"
"ストレート"	"straight"
"ストレート" "ケーブル"	"straight" "cable"
"ストレート" "コース"	"straight" "course"
"ストレート" "パンチ"	"straight" "punch"
"ストレート" "フラッシュ"	"straight" "flush"
"ストロベリー"	"strawberry"
"ストロー"	"straw"
"ストロー" "ボート"	"straw" "ballot"
"ストロー" "ボート"	"straw" "vote"
"ストロー" "級"	"straw" "weight"
"ストローク"	"stroke"
"ストローク" "フォント"	"stroke" "font"
"ストローク" "プレー"	"stroke" "play"
"ストーブ"	"heater"
"ストーブ" "リーグ"	"stove" "league"
"ストーリー"	"story"
"ストーン"	"Stone"
"ストーン"	"stone"
"ストーン" "グラブ"	"stone" "crab"
"ストーン" "サークル"	"stone" "circle"
"スナック"	"snack"
"スナック" "バー"	"snack" "bar"
"スナップ"	"snap"
"スニーカー"	"sneaker"
"スノータイヤ"	"snow" "tire"
"スノーボート"	"snow" "boat"
"スバル" "バール"	"svalbard"
"スパイ"	"spy"
"スパイ" "行為"	"espionage"
"スパイ" "衛星"	"reconnaissance" "satellite"
"スパイク"	"Spike"
"スパイク"	"spike"
"スパイク" "ヒール"	"spike" "heel"
"スパイク" "リー"	"spike" "lee"
"スパイス"	"spice"
"スパイラル"	"spiral"
"スパゲッティ"	"spaghetti"
"スパゲッティ" "コード"	"spaghetti" "code"
"スパナ"	"wrench"
"スパン"	"Spahn"
"スパン"	"span"
"スパン" "カー"	"spanker"
"スパーク"	"SPARC"
"スパーク"	"spark"
"スパーク" "プラグ"	"spark" "plug"
"スパート"	"spurt"
"スピリット"	"spirit"
"スピリット" "リバー"	"spirit" "river"
"スピリット" "湖"	"spirit" "lake"
"スピン"	"spin"
"スピン" "ターン"	"spin" "turn"
"スピーカー"	"speaker"
"スピーカー" "ユニット"	"speaker" "unit"
"スピーチ"	"speech"
"スピーチ" "コンテスト"	"speech" "contest"
"スピーチ" "セラピー"	"speech" "therapy"
"スピード"	"speed"
"スピード" "プレー"	"speed" "play"
"スピード" "ボール"	"speed" "ball"
"スピード" "リミット"	"speed" "limit"
"スピードアップ"	"speed" "up"
"スプリング"	"spring"
"スプリング" "バリー"	"spring" "valley"
"スプリングフィールド"	"Springfield"
"スプリンター"	"sprinter"
"スプリント"	"splint"
"スプリント"	"sprint"
"スプリント" "カー"	"sprint" "car"
"スプリント" "レース"	"sprint" "race"
"スプレー"	"spray"
"スプレー" "ガン"	"spray" "gun"
"スプーン"	"spoon"
"スペア"	"spare"
"スペア"	"spear"
"スペア" "キー"	"spare" "key"
"スペア" "シート"	"spare" "seat"
"スペア" "部品"	"spare" "part"
"スペアリブ"	"spare" "rib"
"スペイン"	"Spain"
"スペイン" "料理"	"spanish" "food"
"スペイン" "語"	"spanish"
"スペクタクル"	"spectacle"
"スペクタクル" "映画"	"spectacular" "film"
"スペクトル"	"spectral"
"スペクトル"	"spectrum"
"スペクトル" "分析"	"spectrum" "analysis"
"スペクトル" "型"	"spectral" "class"
"スペクトル" "幅"	"spectral" "width"
"スペクトル" "系列"	"spectral" "series"
"スペシャリスト"	"specialist"
"スペシャル"	"special"
"スペリング"	"spelling"
"スペル"	"spelling"
"スペース"	"space"
"スペース" "オペラ"	"space" "opera"
"スペース" "ガン"	"space" "gun"
"スペース" "キー"	"space" "bar"
"スペース" "キー"	"space" "key"
"スペース" "クラフト"	"spacecraft"
"スペース" "コロニー"	"space" "colony"
"スペース" "ファンタジー"	"space" "fantasy"
"スペース" "フレーム"	"space" "frame"
"スペースシャトル"	"space" "shuttle"
"スペード"	"spade"
"スポイト"	"dropper"
"スポイト"	"syringe"
"スポット"	"spot"
"スポット"	"spot" "advertisement"
"スポット"	"spot" "news"
"スポット" "カラー"	"spot" "color"
"スポット" "キャンペーン"	"spot" "campaign"
"スポット" "コマーシャル"	"spot" "commercial"
"スポット" "ニュース"	"spot" "news"
"スポット" "価格"	"spot" "price"
"スポット" "広告"	"spot" "ad"
"スポット" "広告"	"spot" "advertisement"
"スポンサー"	"sponsor"
"スポンジ"	"sponge"
"スポンジ" "ラバー"	"sponge" "rubber"
"スポンジケーキ"	"sponge" "cake"
"スポーク"	"spoke"
"スポークスマン"	"spokesman"
"スポーツ"	"sport"
"スポーツ"	"sports"
"スポーツ" "イベント"	"sports" "event"
"スポーツ" "クラブ"	"sports" "club"
"スポーツ" "サイエンス"	"sports" "science"
"スポーツ" "シャツ"	"sport" "shirt"
"スポーツ" "シャツ"	"sports" "shirt"
"スポーツ" "テスト"	"sports" "test"
"スポーツ" "トレーナー"	"sports" "trainer"
"スポーツ" "プログラマー"	"sports" "programmer"
"スポーツ" "万能"	"athletic"
"スポーツ" "医学"	"sports" "medicine"
"スポーツ" "新聞"	"sporting" "newspaper"
"スポーツ" "選手"	"athlete"
"スポーツカー"	"sports" "car"
"スポーツセンター"	"sports" "center"
"スポーツセンター"	"sports" "centre"
"スポーツファン"	"sports" "fan"
"スポーツマン"	"sportsman"
"スマイル"	"smile"
"スマッシュ"	"smash"
"スマート"	"Smart"
"スマート"	"slim"
"スマート"	"smart"
"スマート"	"stylish"
"スマート" "カード"	"smart" "card"
"スマート" "ビル"	"intelligent" "building"
"スマート" "ビル"	"smart" "building"
"スマート" "フォン"	"smart" "phone"
"スマート" "爆弾"	"smart" "bomb"
"スミス"	"Smith"
"スムーズ"	"smooth"
"スモック"	"smoking" "jacket"
"スモーキング"	"smoking"
"スモーキング" "ジャケット"	"smoking" "jacket"
"スモーク"	"smoke"
"スライス"	"slice"
"スライダー"	"slider"
"スライド"	"change"
"スライド"	"proportional" "change"
"スライド"	"slide"
"スライド"	"slip"
"スライド" "ショー"	"slide" "show"
"スライド" "ルール"	"slide" "rule"
"スライド" "山"	"slide" "mountain"
"スラッシュ"	"slash" "character"
"スラブ"	"slab"
"スラム"	"slam"
"スランプ"	"slump"
"スリット"	"slit"
"スリッパ"	"slipper"
"スリップ"	"slip"
"スリム"	"Slim"
"スリム"	"slim"
"スリム" "スカート"	"slim" "skirt"
"スリランカ"	"Sri Lanka"
"スリラー"	"thriller"
"スリラー" "映画"	"thriller"
"スリリング"	"thrilling"
"スリル"	"thrill"
"スリー"	"three"
"スリー" "ク"	"sleek"
"スリーサイズ"	"vital" "statistics"
"スルー"	"through"
"スルー" "ホール"	"through" "hole"
"スルーパス"	"through" "pass"
"スレート"	"slate"
"スレート" "グレー"	"slate" "gray"
"スロット"	"slot"
"スロット" "時間"	"slot" "time"
"スロットマシン"	"fruit" "machine"
"スロットマシン"	"poker" "machine"
"スロットマシン"	"slot" "machine"
"スロー"	"slow"
"スロー"	"throw"
"スロー" "ウイルス"	"slow" "virus"
"スロー" "スターター"	"slow" "starter"
"スロー" "ダンス"	"slow" "dance"
"スロー" "フォワード"	"throw" "forward"
"スロー" "フード"	"slow" "food"
"スロー" "映像"	"slow" "motion"
"スロープ"	"slope"
"スワップ"	"swap"
"スワップ" "ファイル"	"swap" "file"
"スワップ" "ミート"	"swap" "meet"
"スワップ" "協定"	"swap" "agreement"
"スワップ" "領域"	"swap" "area"
"スワップ" "領域"	"swap" "space"
"スワン"	"swan"
"スワン" "リバー"	"swan" "river"
"スワン" "川"	"swan"
"スー"	"Sioux"
"スー" "タン"	"stern"
"スー" "パ"	"super"
"スー" "パ"	"superimpose"
"スー" "パ"	"supermarket"
"スーザン"	"Susan"
"スーツ"	"suit"
"スーツ" "姿"	"suited" "figure"
"スーツケース"	"suitcase"
"スーパー"	"super"
"スーパー"	"superimpose"
"スーパー"	"supermarket"
"スーパー" "チェーン"	"supermarket" "chain"
"スーパー" "ヒーロー"	"super" "hero"
"スーパー" "ビジョン"	"supervision"
"スーパー" "マウス"	"super" "mouse"
"スーパー" "マリオ"	"super" "mario"
"スーパー" "ユーザ"	"super" "user"
"スーパー" "ユーザー"	"super" "user"
"スーパーボウル"	"Super Bowl"
"スーパーマーケット"	"supermarket"
"スープ"	"soup"
"スープ" "カップ"	"soup" "cup"
"スープ" "ストック"	"soup" "stock"
"スープ" "スプーン"	"soup" "spoon"
"スープ" "ボウル"	"soup" "bowl"
"スープ" "皿"	"soup" "bowl"
"スープ" "皿"	"soup" "plate"
"スープ" "鉢"	"soup" "bowl"
"ズック"	"canvas"
"ズック"	"cloth"
"ズック"	"screen"
"ズーム"	"zoom"
"ズーム" "アウト"	"zoom" "out"
"ズーム" "イン"	"zoom" "in"
"ズーム" "バック"	"zoom" "back"
"ズーム" "ボックス"	"zoom" "box"
"ズームアップ"	"zoom" "up"
"ズームレンズ"	"zoom" "lens"
"セ" "リー"	"sherry"
"セイ" "ファー"	"safer"
"セオリー"	"theory"
"セカンド"	"second"
"セカンド"	"second" "base"
"セカンド" "ソース"	"second" "source"
"セカンドハウス"	"second" "home"
"セカンドハウス"	"second" "house"
"セカンドベース"	"second" "base"
"セキュリティー"	"security"
"セキュリティー" "ホール"	"security" "hole"
"セキュリティー" "ポリス"	"security" "police"
"セクシュアル"	"sexual"
"セクション"	"section"
"セクション" "区画"	"section"
"セクシー"	"sexy"
"セクター"	"sector"
"セゾン"	"season"
"セダン"	"sedan"
"セックス"	"sexual" "intercourse"
"セックス" "産業"	"sex" "industry"
"セックスアピール"	"sex" "appeal"
"セッション"	"jam"
"セッション"	"jam" "session"
"セッション"	"session"
"セッション" "層"	"session" "layer"
"セッター"	"setter"
"セッティング"	"setting"
"セット"	"set"
"セット"	"set" "meal"
"セット" "プレー"	"set" "play"
"セット" "メニュー"	"set" "menu"
"セット" "ローション"	"setting" "lotion"
"セット" "販売"	"bundle"
"セットポイント"	"set" "point"
"セットポジション"	"set" "position"
"セブン"	"seven"
"セブンティーン"	"seventeen"
"セミコロン"	"semicolon"
"セミナー"	"seminar"
"セメント"	"cement"
"セメント" "質"	"cement"
"セラピスト"	"therapist"
"セラピー"	"therapy"
"セラミック"	"ceramic"
"セル"	"cell"
"セル"	"serge"
"セル" "アニメーション"	"cell" "animation"
"セル" "バッファ"	"cell" "buffer"
"セル" "ベース"	"cell" "based"
"セル" "モーター"	"starter" "motor"
"セル" "リレー"	"cell" "relay"
"セル" "損失"	"cell" "loss"
"セル" "配列"	"cell" "array"
"セルビア"	"Serbia"
"セルビア" "人"	"serbian"
"セルフ"	"self"
"セレクション"	"selection"
"セレクト"	"select"
"セレモニー"	"ceremony"
"セン"	"bottle" "cap"
"センサー"	"sensor"
"センス"	"good" "taste"
"センス" "データ"	"sense" "data"
"センセーショナル"	"sensational"
"センセーション"	"sensation"
"センター"	"center"
"センター"	"centre"
"センター" "コート"	"center" "court"
"センター" "サークル"	"center" "circle"
"センター" "ハーフ"	"center" "half"
"センター" "ピース"	"centerpiece"
"センター" "フォワード"	"center" "forward"
"センター" "ベンツ"	"centre" "vent"
"センター" "ポール"	"center" "pole"
"センターライン"	"center" "line"
"センチ"	"centimeter"
"センチ"	"sentimental"
"センチ" "メーター"	"centimeter"
"センチメンタル"	"sentimental"
"センチメートル"	"centimeter"
"センチュリー"	"century"
"セント"	"St."
"セント"	"saint"
"セント" "ジェームズ"	"saint" "james"
"セント" "ジョージ"	"st." "george"
"セント" "チャールズ"	"saint" "charles"
"セント" "ピーター"	"saint" "peter"
"セント" "ポール"	"saint" "paul"
"セントラル"	"central"
"セントラル" "シティー"	"central" "city"
"セントラル" "バリー"	"central" "valley"
"セントラル" "パーク"	"central park"
"セントラル" "パーク"	"central" "park"
"セントラルリーグ"	"Central" "League"
"セントルイス"	"Saint Louis"
"セーター"	"jumper"
"セーター"	"sweater"
"セーフ"	"safe"
"セーフガード"	"safeguard"
"セーフティ" "ネット"	"safety" "net"
"セーフティー"	"safety"
"セーフティー" "ネット"	"safety" "net"
"セーフティー" "バルブ"	"safety" "valve"
"セーフティー" "ファクター"	"safety" "factor"
"セーフティー" "諸島"	"safety"
"セーフティーゾーン"	"safety" "zone"
"セーブ"	"save"
"セーブポイント"	"save" "point"
"セーラー"	"sailor"
"セーラー" "カラー"	"sailor" "collar"
"セーラー服"	"sailor" "suit"
"セール"	"sale"
"セールス"	"sales"
"セールス" "アプローチ"	"sales" "approach"
"セールス" "エンジニア"	"sales" "engineer"
"セールス" "トーク"	"sales" "talk"
"セールス" "戦略"	"sales" "strategy"
"セ氏"	"Celsius"
"ゼネコン"	"general" "contractor"
"ゼネスト"	"general" "strike"
"ゼネラル"	"general"
"ゼネラル" "マネージャー"	"general" "manager"
"ゼネレーション"	"generation"
"ゼブラ"	"zebra"
"ゼミ"	"seminar"
"ゼミナール"	"seminar"
"ゼラチン"	"gelatine"
"ゼリー"	"jelly"
"ゼロ"	"zero"
"ゼロ" "ゲーム"	"zero" "game"
"ゼロ" "地点"	"ground" "zero"
"ゼロ" "抑制"	"zero" "suppression"
"ゼロ" "番目"	"zero" "argument"
"ゼロ" "行列"	"zero" "matrix"
"ソ"	"so"
"ソウル"	"soul"
"ソウル" "フード"	"soul" "food"
"ソウルミュージック"	"soul" "music"
"ソクラテス"	"Socrates"
"ソケット"	"socket"
"ソケット" "サービス"	"socket" "services"
"ソシアル"	"social"
"ソナタ"	"sonata"
"ソナタ" "形式"	"sonata" "form"
"ソニー"	"Sony"
"ソニー" "銀行"	"sony" "bank"
"ソファ"	"couch"
"ソファ"	"sofa"
"ソファー"	"couch"
"ソファー"	"sofa"
"ソファーベッド"	"sofa" "bed"
"ソフト"	"soft"
"ソフト"	"soft" "hat"
"ソフト"	"software"
"ソフト" "カラー"	"soft" "collar"
"ソフト" "パワー"	"soft" "power"
